range_km,range_miles,battery_kwh,battery_wh,charge_time_min,charge_time_hours,production_year,num_recalls,is_premium
407.32,,73.71,,8.0,,2021,2,1
372.4,,72.12,,20.25,,2019,0,0
415.62,,67.69,,103.07,,2023,3,1
463.77,,71.97,,123.98,,2024,1,0
367.12,,76.91,,8.0,,2024,2,1
367.12,,70.74,,8.0,,2020,0,0
466.86,,76.2,,8.0,,2023,1,0
422.21,,63.63,,85.26,,2022,1,0
354.18,,65.96,,8.0,,2020,3,0
409.84,,64.66,,8.0,,2024,1,0
354.51,,66.35,,10.85,,2023,3,0
354.38,,84.87,,104.66,,2024,4,0
393.31,,79.26,,48.95,,2019,3,0
274.77,,61.23,,40.3,,2020,1,0
285.13,,76.37,,64.49,,2024,0,0
349.07,,68.09,,49.64,,2021,1,0
324.29,,65.18,,57.55,,2022,0,0
397.28,,57.14,,8.0,,2023,2,0
330.06,,81.72,,37.42,,2022,1,0
302.32,,58.36,,58.77,,2018,1,0
460.61,,71.48,,35.02,,2023,2,0
367.58,,62.54,,8.0,,2020,1,0
383.71,,79.76,,9.96,,2024,0,0
301.64,,68.66,,138.35,,2023,1,0
350.06,,70.66,,51.23,,2024,0,0
386.1,,70.99,,48.99,,2024,0,0
316.7,,75.03,,45.34,,2019,1,1
400.66,,72.13,,8.0,,2020,2,1
346.96,,71.57,,8.0,,2024,1,1
363.96,,66.82,,24.4,,2024,0,0
,215.56,56.25,,24.68,,2018,3,0
481.88,,60.81,,70.15,,2024,3,0
379.26,,79.18,,8.42,,2022,1,0
321.83,,68.94,,13.51,,2022,1,0
425.24,,65.36,,8.0,,2024,2,0
312.85,,57.94,,21.45,,2021,1,0
391.49,,54.8,,12.42,,2022,1,1
272.22,,64.97,,12.81,,2021,0,1
306.95,,80.88,,12.31,,2019,0,1
390.83,,66.43,,11.06,,2021,3,0
420.62,,76.0,,16.19,,2020,1,0
389.43,,65.97,,32.31,,2022,1,1
373.64,,78.39,,24.18,,2022,1,0
363.44,,68.48,,8.0,,2022,1,0
298.68,,59.68,,23.31,,2020,1,1
340.41,,69.31,,78.65,,2019,0,0
354.66,,90.34,,8.0,,2019,1,1
438.14,,89.9,,121.33,,2019,1,0
398.9,,76.87,,15.5,,2021,2,1
283.03,,70.63,,8.0,,2018,2,0
397.82,,75.04,,12.26,,2019,2,0
358.82,,75.17,,8.0,,2022,2,1
342.77,,71.6,,35.09,,2020,2,1
413.64,,76.41,,15.97,,2021,1,1
436.7,,74.08,,69.07,,2021,1,0
431.22,,68.84,,55.4,,2018,1,1
333.84,,60.05,,26.55,,2020,0,0
362.99,,67.4,,34.54,,2023,1,1
398.22,,80.0,,39.42,,2021,2,1
433.65,,71.69,,13.26,,2020,1,0
353.65,,75.0,,8.0,,2020,1,0
369.79,,69.17,,19.84,,2024,1,1
319.15,,61.4,,8.0,,2020,0,1
314.21,,69.61,,15.88,,2024,0,0
424.69,,61.78,,33.78,,2019,1,1
454.59,,61.14,,32.62,,2024,0,0
376.04,,84.06,,8.0,,2022,1,0
435.19,,67.8,,8.0,,2023,0,1
399.89,,64.59,,8.0,,2020,1,0
344.52,,88.18,,8.0,,2024,0,0
399.88,,80.15,,21.49,,2022,0,0
464.59,,68.28,,20.74,,2023,1,0
378.03,,76.28,,11.62,,2022,4,0
466.06,,69.64,,10.19,,2019,2,1
235.91,,65.07,,21.2,,2024,1,0
425.2,,76.75,,8.0,,2020,0,0
384.79,,68.76,,10.13,,2021,4,0
363.55,,72.75,,21.86,,2023,1,1
385.05,,82.21,,8.0,,2019,3,0
270.68,,81.11,,77.18,,2024,2,0
367.92,,66.5,,47.34,,2019,3,1
399.64,,76.86,,20.29,,2023,0,1
461.28,,60.72,,8.0,,2023,0,1
351.5,,76.5,,9.07,,2023,2,1
335.53,,73.48,,8.0,,2022,2,0
352.4,,75.79,,8.0,,2021,0,0
430.35,,69.03,,23.06,,2024,3,0
398.08,,92.84,,11.84,,2024,2,1
350.86,,62.99,,90.68,,2022,2,1
408.23,,81.72,,136.18,,2020,2,1
385.34,,61.68,,49.38,,2024,3,0
433.28,,77.04,,69.48,,2023,3,1
341.39,,77.76,,12.37,,2020,3,0
361.98,,72.55,,45.94,,2020,1,0
358.43,,67.05,,8.0,,2022,1,1
299.51,,73.41,,135.42,,2022,0,1
396.29,,74.67,,46.59,,2022,1,0
394.36,,89.9,,16.0,,2022,3,0
380.28,,63.28,,62.29,,2020,4,0
367.1,,66.44,,8.0,,2021,1,0
302.15,,74.85,,19.82,,2022,1,0
356.86,,69.44,,94.92,,2019,0,1
361.15,,71.0,,12.83,,2021,0,0
335.87,,82.7,,46.3,,2020,2,0
371.13,,43.8,,18.75,,2020,3,0
402.22,,66.02,,20.92,,2020,3,0
483.74,,54.58,,57.55,,2020,1,1
389.6,,60.04,,101.23,,2020,0,0
394.17,,96.05,,8.0,,2021,3,0
375.91,,77.98,,13.62,,2019,2,1
274.47,,81.52,,28.1,,2024,2,1
378.54,,71.19,,39.96,,2022,1,1
383.31,,79.59,,26.49,,2022,0,1
515.48,,54.33,,68.77,,2020,1,0
369.42,,82.38,,61.38,,2024,0,0
396.59,,63.8,,21.82,,2024,4,0
378.09,,66.69,,8.0,,2018,1,1
315.72,,77.05,,9.08,,2023,1,0
442.86,,75.16,,28.03,,2020,1,0
421.36,,72.85,,110.22,,2022,1,1
423.51,,58.37,,35.21,,2024,1,0
329.98,,73.0,,31.75,,2024,1,1
457.15,,81.61,,54.06,,2020,0,0
302.9,,66.68,,8.0,,2024,1,0
412.28,,85.15,,8.0,,2019,3,1
500.48,,63.27,,17.8,,2024,0,1
325.52,,72.07,,221.31,,2023,0,0
348.85,,87.35,,87.65,,2024,1,1
385.48,,65.19,,47.87,,2021,1,0
352.31,,82.54,,20.84,,2024,1,0
294.71,,91.75,,33.98,,2024,1,0
383.77,,73.71,,15.19,,2021,1,0
321.57,,66.73,,47.12,,2021,1,1
406.05,,64.27,,22.8,,2021,2,0
329.43,,85.05,,8.0,,2022,4,1
465.25,,84.77,,10.17,,2020,0,0
336.92,,86.49,,39.41,,2022,2,0
362.29,,71.67,,49.81,,2019,2,0
424.74,,82.38,,8.0,,2021,2,0
312.3,,71.51,,69.39,,2023,2,0
392.51,,63.17,,73.05,,2022,0,1
451.89,,83.24,,53.93,,2021,0,1
291.59,,88.34,,48.33,,2021,0,1
390.15,,61.79,,11.08,,2021,0,0
394.29,,61.61,,105.88,,2019,2,0
423.0,,72.4,,13.14,,2021,2,1
311.97,,81.56,,8.46,,2023,1,0
307.37,,60.66,,42.74,,2020,0,0
408.71,,74.27,,19.01,,2020,0,0
396.33,,66.1,,113.55,,2024,1,0
393.78,,79.01,,25.9,,2020,0,0
399.05,,64.02,,8.0,,2021,3,0
342.6,,79.72,,132.67,,2022,4,1
392.77,,70.42,,30.43,,2022,2,0
396.12,,62.63,,30.7,,2020,1,0
340.71,,72.64,,20.47,,2022,0,0
482.62,,52.62,,75.93,,2023,1,0
406.06,,66.41,,14.25,,2022,0,0
314.48,,75.37,,8.0,,2024,1,0
416.11,,54.28,,28.88,,2024,1,1
326.39,,46.29,,109.29,,2022,1,1
423.29,,48.61,,13.41,,2024,1,0
443.72,,85.27,,13.01,,2023,0,0
334.86,,71.23,,56.27,,2022,0,0
432.99,,66.68,,62.75,,2024,1,0
402.7,,81.45,,24.02,,2024,1,0
425.21,,67.96,,75.33,,2024,2,1
484.32,,74.68,,8.0,,2023,1,0
366.5,,72.26,,19.21,,2022,3,1
338.54,,67.29,,21.76,,2021,2,1
331.08,,74.94,,15.76,,2022,1,0
335.13,,79.73,,10.31,,2023,3,0
375.76,,70.15,,17.33,,2018,0,0
398.76,,67.39,,8.0,,2021,2,0
395.22,,68.57,,51.04,,2021,2,1
425.5,,49.02,,48.38,,2023,2,1
380.72,,74.83,,25.13,,2023,1,1
459.94,,59.91,,16.38,,2022,0,1
365.44,,78.3,,23.91,,2024,2,0
529.61,,71.1,,115.8,,2022,1,0
414.41,,73.05,,38.86,,2023,2,1
332.86,,79.0,,55.2,,2023,1,0
321.1,,62.73,,10.95,,2024,2,1
406.54,,75.69,,8.0,,2024,3,1
367.71,,74.68,,8.0,,2024,4,0
419.27,,70.15,,26.83,,2021,1,0
406.03,,62.72,,52.97,,2020,4,0
375.99,,77.95,,62.49,,2023,1,0
333.43,,79.03,,53.53,,2024,2,0
296.68,,73.14,,102.44,,2019,3,1
355.44,,61.3,,8.0,,2021,2,0
427.1,,66.73,,81.2,,2024,0,1
391.78,,71.4,,45.39,,2023,1,0
311.48,,78.88,,8.11,,2023,0,1
389.52,,56.17,,48.17,,2022,1,1
401.19,,66.36,,30.11,,2021,0,0
331.39,,67.97,,18.68,,2024,1,0
388.45,,71.17,,11.97,,2022,1,0
383.2,,58.99,,26.2,,2022,0,0
317.14,,69.82,,11.48,,2023,0,1
399.68,,68.9,,8.0,,2020,2,0
410.84,,61.62,,78.61,,2022,0,0
